code,journal
F034,ACTA BIOCHIMICA ET BIOPHYSICA SINICA
C096,ACTA MATHEMATICA SCIENTIA
B030,ACTA MATHEMATICA SINICA ENGLISH SERIES
I051,ACTA MATHEMATICAE APPLICATAE SINICA
C105,ACTA MECHANICA SINICA
M100,ACTA METALLURGICA SINICA
I209,ACTA OCEANOLOGICA SINICA
G218,ACTA PHARMACEUTICA SINICA B
G001,ACTA PHARMACOLOGICA SINICA
I062,ADVANCES IN ATMOSPHERIC SCIENCES
I124,ADVANCES IN POLAR SCIENCE
I282,ASIAN JOURNAL OF ANDROLOGY
G780,CANCER BIOLOGY & MEDICINE
I072,CELL RESEARCH
I139,CHEMICAL RESEARCH IN CHINESE UNIVERSITIES
I710,CHINA COMMUNICATIONS
I165,CHINA FOUNDRY
E158,CHINA OCEAN ENGINEERING
B023,CHINESE ANNALS OF MATHEMATICS SERIES B
D031,CHINESE CHEMICAL LETTERS
I154,CHINESE GEOGRAPHICAL SCIENCE
I207,CHINESE HERBAL MEDICINES
I166,CHINESE JOURNAL OF ACOUSTICS
I122,CHINESE JOURNAL OF AERONAUTICS
G011,CHINESE JOURNAL OF CANCER
I037,CHINESE JOURNAL OF CANCER RESEARCH
T100,CHINESE JOURNAL OF CHEMICAL ENGINEERING
C070,CHINESE JOURNAL OF CHEMICAL PHYSICS
I116,CHINESE JOURNAL OF ELECTRONICS
E012,CHINESE JOURNAL OF OCEANOLOGY AND LIMNOLOGY
D017,CHINESE JOURNAL OF POLYMER SCIENCE
I200,CHINESE JOURNAL OF TRAUMATOLOGY
I201,CHINESE MEDICAL JOURNAL
G126,CHINESE MEDICAL SCIENCES JOURNAL
I071,CHINESE OPTICS LETTERS
C106,CHINESE PHYSICS B
C058,CHINESE PHYSICS C
C059,CHINESE PHYSICS LETTERS
B022,CHINESE QUARTERLY JOURNAL OF MATHEMATICS
C095,COMMUNICATIONS IN THEORETICAL PHYSICS
I720,CSEE JOURNAL OF POWER AND ENERGY SYSTEMS
F005,ENTOMOTAXONOMIA
I733,FRONTIERS OF BIOLOGY
I248,FRONTIERS OF CHEMICAL SCIENCE AND ENGINEERING
I735,FRONTIERS OF COMPUTER SCIENCE
I243,FRONTIERS OF MATERIALS SCIENCE
I250,FRONTIERS OF MATHEMATICS IN CHINA
I237,FRONTIERS OF MEDICINE
I132,FRONTIERS OF OPTOELECTRONICS IN CHINA
I726,FRONTIERS OF PHYSICS
I725,FRONTIERS OF STRUCTURAL AND CIVIL ENGINEERING
I222,GENOMICS PROTEOMICS & BIOINFORMATICS
E050,GEOSCIENCE FRONTIERS
I012,INSECT SCIENCE
I168,INTERNATIONAL JOURNAL OF COAL SCIENCE & TECHNOLOGY
I184,INTERNATIONAL JOURNAL OF MINING SCIENCE AND TECHNOLOGY
E049,JOURNAL OF ARID LAND
N764,JOURNAL OF BIONIC ENGINEERING
I226,JOURNAL OF CHINA ORDNANCE
I227,JOURNAL OF CHINESE PHARMACEUTICAL SCIENCES
S051,JOURNAL OF COMPUTER SCIENCE AND TECHNOLOGY
E537,JOURNAL OF EARTH SCIENCE
I105,JOURNAL OF ENERGY CHEMISTRY
Z027,JOURNAL OF ENVIRONMENTAL SCIENCES
I018,JOURNAL OF FORESTRY RESEARCH
F013,JOURNAL OF GENETICS AND GENOMICS
I063,JOURNAL OF GEOGRAPHICAL SCIENCES
W015,JOURNAL OF HYDRODYNAMICS SERIES B
H017,JOURNAL OF INTEGRATIVE AGRICULTURE
G442,JOURNAL OF INTEGRATIVE MEDICINE
F029,JOURNAL OF INTEGRATIVE PLANT BIOLOGY
I142,"JOURNAL OF IRON AND STEEL RESEARCH, INTERNATIONAL"
I229,JOURNAL OF MARINE SCIENCE AND APPLICATION
M015,JOURNAL OF MATERIALS SCIENCE & TECHNOLOGY
F021,JOURNAL OF MOLECULAR CELL BIOLOGY
I230,JOURNAL OF MOUNTAIN SCIENCE
I120,JOURNAL OF OCEAN UNIVERSITY OF CHINA
M035,JOURNAL OF RARE EARTHS
F208,JOURNAL OF RESOURCES AND ECOLOGY
C010,JOURNAL OF ROCK MECHANICS AND GEOTECHNICAL ENGINEERING (JRMGE)
R062,JOURNAL OF SEMICONDUCTORS
F039,JOURNAL OF SYSTEMATICS AND EVOLUTION
X053,JOURNAL OF TRAFFIC AND TRANSPORTATION ENGINEERING ENGLISH EDITION
I090,JOURNAL OF WUHAN UNIVERSITY OF TECHNOLOGY MATERIALS SCIENCE EDITION
I041,JOURNAL OF ZHEJIANG UNIVERSITY SCIENCE A
