rank,title,abbrtitle,if
1,CA-A CANCER JOURNAL FOR CLINICIANS,CA-CANCER J CLIN,244.585
2,NEW ENGLAND JOURNAL OF MEDICINE,NEW ENGL J MED,79.258
3,LANCET,LANCET,53.254
4,CHEMICAL REVIEWS,CHEM REV,52.613
5,Nature Reviews Materials,NAT REV MATER,51.941
6,NATURE REVIEWS DRUG DISCOVERY,NAT REV DRUG DISCOV,50.167
7,JAMA-JOURNAL OF THE AMERICAN MEDICAL ASSOCIATION,JAMA-J AM MED ASSOC,47.661
8,Nature Energy,NAT ENERGY,46.859
9,NATURE REVIEWS CANCER,NAT REV CANCER,42.784
10,NATURE REVIEWS IMMUNOLOGY,NAT REV IMMUNOL,41.982
11,NATURE,NATURE,41.577
12,NATURE REVIEWS GENETICS,NAT REV GENET,41.465
13,SCIENCE,SCIENCE,41.058
14,CHEMICAL SOCIETY REVIEWS,CHEM SOC REV,40.182
15,NATURE MATERIALS,NAT MATER,39.235
16,Nature Nanotechnology,NAT NANOTECHNOL,37.490
17,LANCET ONCOLOGY,LANCET ONCOL,36.418
18,REVIEWS OF MODERN PHYSICS,REV MOD PHYS,36.367
19,NATURE BIOTECHNOLOGY,NAT BIOTECHNOL,35.724
20,NATURE REVIEWS MOLECULAR CELL BIOLOGY,NAT REV MOL CELL BIO,35.612
21,NATURE REVIEWS NEUROSCIENCE,NAT REV NEUROSCI,32.635
22,NATURE MEDICINE,NAT MED,32.621
23,Nature Photonics,NAT PHOTONICS,32.521
24,NATURE REVIEWS MICROBIOLOGY,NAT REV MICROBIOL,31.851
25,CELL,CELL,31.398
26,ADVANCES IN PHYSICS,ADV PHYS,30.917
27,Energy & Environmental Science,ENERG ENVIRON SCI,30.067
28,World Psychiatry,WORLD PSYCHIATRY,30.000
29,LANCET NEUROLOGY,LANCET NEUROL,27.138
30,NATURE GENETICS,NAT GENET,27.125
31,NATURE METHODS,NAT METHODS,26.919
32,JOURNAL OF CLINICAL ONCOLOGY,J CLIN ONCOL,26.303
33,Nature Chemistry,NAT CHEM,26.201
34,PROGRESS IN ENERGY AND COMBUSTION SCIENCE,PROG ENERG COMBUST,25.242
35,LANCET INFECTIOUS DISEASES,LANCET INFECT DIS,25.148
36,Annual Review of Astronomy and Astrophysics,ANNU REV ASTRON ASTR,24.912
37,Nature Reviews Clinical Oncology,NAT REV CLIN ONCOL,24.653
38,PROGRESS IN POLYMER SCIENCE,PROG POLYM SCI,24.558
39,Materials Today,MATER TODAY,24.537
40,MATERIALS SCIENCE & ENGINEERING R-REPORTS,MAT SCI ENG R,24.480
